specimen	treatment	treatment_type	moment	dec_s	inc_s
I1512-3B	0.0	T	0.026720400000000002	336.4	43.2
I1512-3B	100.0	T	0.021275600000000002	349.2	36.3
I1512-3B	100.1	T	0.0190929	349.3	23.8
I1512-3B	150.1	T	0.017465699999999997	351.9	-15.9
I1512-3B	150.0	T	0.0167698	351.6	4.4
I1512-3B	200.0	T	0.015684200000000002	358.1	14.7
I1512-3B	100.2	T	0.0168049	0.5	-10.7
I1512-3B	200.1	T	0.0182503	359.3	-27.6
I1512-3B	200.1	T	0.0177194	359.4	-19.4
I1512-3B	100.2	T	0.0192389	1.7	-28.1
I1512-3B	200.1	T	0.0196259	357.8	-29.6
I1512-3B	250.1	T	0.0251544	2.0	-41.9
I1512-3B	250.0	T	0.0168773	6.2	-18.9
I1512-3B	300.0	T	0.0165971	9.6	-3.7
I1512-3B	200.2	T	0.0215004	5.9	-35.0
I1512-3B	300.1	T	0.0264946	7.0	-47.3
I1512-3B	350.1	T	0.062271900000000005	356.1	-70.9
I1512-3B	350.0	T	0.0240053	7.7	-47.4
I1512-3B	400.0	T	0.0186113	12.6	-24.2
I1512-3B	300.2	T	0.0330006	12.3	-60.1
I1512-3B	400.1	T	0.0693354	356.9	-74.9
I1512-3B	435.1	T	0.077476	24.2	-76.7
I1512-3B	435.0	T	0.0263891	20.2	-46.7
I1512-3B	470.0	T	0.0212303	22.8	-37.3
I1512-3B	400.2	T	0.0633609	31.7	-78.4
I1512-3B	470.1	T	0.0768434	25.0	-75.9
I1512-3B	505.1	T	0.106068	4.7	-84.0
I1512-3B	505.0	T	0.0316351	21.6	-59.4
I1512-3B	520.0	T	0.025304300000000002	19.1	-53.5
I1512-3B	470.2	T	0.08171980000000001	21.4	-77.8
I1512-3B	520.1	T	0.114053	14.2	-80.3
I1512-3B	535.1	T	0.131775	17.9	-83.1
I1512-3B	535.0	T	0.0374967	8.7	-66.4
I1512-3B	550.0	T	0.018751999999999998	12.3	-55.0
I1512-3B	520.2	T	0.107737	261.5	-80.1
I1512-3B	550.1	T	0.241506	46.0	-86.1
I1512-3B	555.1	T	0.357575	281.5	-88.1
I1512-3B	555.0	T	0.014531800000000001	8.3	-68.6
I1512-3B	560.0	T	0.0112861	11.3	-67.0
